epoch,dice,loss,lr,val_dice,val_loss
0,0.9923556682089685,-0.9923556682089685,5e-05,0.9903736785054207,-0.9903736785054207
1,0.9953676302668074,-0.9953676302668074,5e-05,0.9883700137337049,-0.9883700137337049
2,0.995939638832925,-0.995939638832925,5e-05,0.9908745661377907,-0.9908745661377907
3,0.9951122428329897,-0.9951122428329897,5e-05,0.9814893677830696,-0.9814893677830696
4,0.9952250937340965,-0.9952250937340965,5e-05,0.9900330503781637,-0.9900330503781637
5,0.995822829259953,-0.995822829259953,2.5e-05,0.9831635902325312,-0.9831635902325312
6,0.9966578290496074,-0.9966578290496074,2.5e-05,0.9926281571388245,-0.9926281571388245
7,0.9968170116485005,-0.9968170116485005,2.5e-05,0.9894098142782847,-0.9894098142782847
8,0.9974136075503389,-0.9974136075503389,2.5e-05,0.9937723676363627,-0.9937723676363627
9,0.9975060300088264,-0.9975060300088264,2.5e-05,0.98879707356294,-0.98879707356294
10,0.9975204694438988,-0.9975204694438988,2.5e-05,0.9908221686879793,-0.9908221686879793
11,0.997307644343712,-0.997307644343712,2.5e-05,0.9874100883801779,-0.9874100883801779
12,0.9971986291274219,-0.9971986291274219,2.5e-05,0.9939834276835123,-0.9939834276835123
13,0.9974487230811321,-0.9974487230811321,1.25e-05,0.9908052285512289,-0.9908052285512289
14,0.997679524858233,-0.997679524858233,1.25e-05,0.9943522562583288,-0.9943522562583288
15,0.9976014620821241,-0.9976014620821241,1.25e-05,0.9950732265909513,-0.9950732265909513
16,0.997813728493704,-0.997813728493704,1.25e-05,0.9905650367339452,-0.9905650367339452
17,0.9979886740026339,-0.9979886740026339,1.25e-05,0.9949377452333769,-0.9949377452333769
18,0.998003150795547,-0.998003150795547,1.25e-05,0.989937831958135,-0.989937831958135
19,0.9978550471050639,-0.9978550471050639,1.25e-05,0.9849905942877134,-0.9849905942877134
20,0.9981371676418144,-0.9981371676418144,6.25e-06,0.9939734737078348,-0.9939734737078348
21,0.9981509673763329,-0.9981509673763329,6.25e-06,0.991522786517938,-0.991522786517938
22,0.9982236183025468,-0.9982236183025468,6.25e-06,0.9918767313162485,-0.9918767313162485
23,0.9982106748601081,-0.9982106748601081,3.125e-06,0.9927258044481277,-0.9927258044481277
24,0.9980656651543899,-0.9980656651543899,3.125e-06,0.9945138071974119,-0.9945138071974119
